,name,year,place,style,genre,painting_url
306,Still Life with Lemons on a Plate,1887,"Paris, France","
Post-Impressionism
","
still life
",https://uploads8.wikiart.org/images/vincent-van-gogh/still-life-with-lemons-on-a-plate-1887.jpg
307,"Still Life with Plaster Statuette, a Rose and Two Novels",1887,"Paris, France","
Post-Impressionism
","
still life
",https://uploads3.wikiart.org/images/vincent-van-gogh/still-life-with-plaster-statuette-a-rose-and-two-novels-1887.jpg
308,Still Life with Red Cabbages and Onions,1887,"Paris, France","
Post-Impressionism
","
still life
",https://uploads5.wikiart.org/images/vincent-van-gogh/still-life-with-red-cabbages-and-onions-1887.jpg
309,Still Life with Three Books,1887,"Paris, France","
Post-Impressionism
","
still life
",https://uploads2.wikiart.org/images/vincent-van-gogh/still-life-with-three-books-1887.jpg
310,Still Life with Two Sunflowers,1887,"Paris, France","
Post-Impressionism
","
still life
",https://uploads5.wikiart.org/images/vincent-van-gogh/still-life-with-two-sunflowers-1887.jpg
311,Still Life with Two Sunflowers,1887,"Paris, France","
Post-Impressionism
","
still life
",https://uploads1.wikiart.org/00220/images/vincent-van-gogh/antique-3937521.jpg
312,Still Life: Vase with Cornflowers and Poppies,1887,"Paris, France","
Post-Impressionism
","
flower painting
",https://uploads1.wikiart.org/images/vincent-van-gogh/still-life-vase-with-cornflowers-and-poppies-1887.jpg
313,Suburbs of Paris,1887,"Paris, France","
Post-Impressionism,
Neo-Impressionism
","
landscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/suburbs-of-paris-1887.jpg
314,The Allotments at Montmartre,1887,"Paris, France","
Post-Impressionism
","
cityscape
",https://uploads3.wikiart.org/images/vincent-van-gogh/the-allotments-at-montmartre-1887.jpg
315,The Banks of the Seine,1887,"Paris, France","
Post-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/the-banks-of-the-seine-1887.jpg
