,name,year,place,style,genre,painting_url
408,Peach Trees in Blossom,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/peach-trees-in-blossom-1888.jpg
409,Pear Tree in Blossom,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads4.wikiart.org/images/vincent-van-gogh/pear-tree-in-blossom-1888.jpg
410,Père Tanguy,1888,"Arles, Bouches-du-Rhône, France","
Japonism
","
portrait
",https://uploads8.wikiart.org/images/vincent-van-gogh/père-tanguy.jpg
411,Pollard Willows and Setting Sun,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/pollard-willows-and-setting-sun-1888.jpg
412,Portrait of a Man,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads1.wikiart.org/images/vincent-van-gogh/portrait-of-a-man-1888.jpg
413,Portrait of a One-Eyed Man,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads1.wikiart.org/images/vincent-van-gogh/portrait-of-a-one-eyed-man-1888.jpg
414,Portrait of Armand Roulin,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads0.wikiart.org/images/vincent-van-gogh/portrait-of-armand-roulin-1888.jpg
415,Portrait of Armand Roulin,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads2.wikiart.org/images/vincent-van-gogh/portrait-of-armand-roulin-1888-1.jpg
416,Portrait of Camille Roulin,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads1.wikiart.org/images/vincent-van-gogh/portrait-of-camille-roulin-1888.jpg
417,Portrait of Camille Roulin,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads3.wikiart.org/images/vincent-van-gogh/portrait-of-camille-roulin-1888-1.jpg
418,Portrait of Eugene Boch,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads7.wikiart.org/images/vincent-van-gogh/portrait-of-eugene-boch-1888.jpg
419,Portrait of Madame Augustine Roulin,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads1.wikiart.org/images/vincent-van-gogh/portrait-of-madame-augustine-roulin-1888.jpg
420,Portrait of Madame Ginoux (L'Arlesienne),1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads4.wikiart.org/images/vincent-van-gogh/portrait-of-madame-ginoux-l-arlesienne-1888.jpg
421,Portrait of Madame Ginoux (L'Arlesienne),1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads6.wikiart.org/images/vincent-van-gogh/portrait-of-madame-ginoux-l-arlesienne-1888-1.jpg
422,"Portrait of Milliet, Second Lieutnant of the Zouaves",1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads8.wikiart.org/images/vincent-van-gogh/portrait-of-milliet-second-lieutnant-of-the-zouaves-1888.jpg
423,Portrait of Patience Escalier,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads6.wikiart.org/images/vincent-van-gogh/portrait-of-patience-escalier-1888-1.jpg
424,"Portrait of Patience Escalier, Shepherd in Provence",1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads7.wikiart.org/images/vincent-van-gogh/portrait-of-patience-escalier-shepherd-in-provence-1888.jpg
425,Portrait of Père Tanguy,1888,"Arles, Bouches-du-Rhône, France","
Japonism,
Post-Impressionism
","
portrait
",https://uploads7.wikiart.org/images/vincent-van-gogh/portrait-of-père-tanguy-1888.jpg
426,Portrait of Postman Roulin,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads1.wikiart.org/images/vincent-van-gogh/portrait-of-postman-roulin-1888.jpg
427,Portrait of the Artist's Mother,1888,"Arles, Bouches-du-Rhône, Netherlands","
Post-Impressionism
","
portrait
",https://uploads6.wikiart.org/images/vincent-van-gogh/portrait-of-the-artist-s-mother-1888.jpg
428,Postman Joseph Roulin,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads5.wikiart.org/images/vincent-van-gogh/postman-joseph-roulin-1888.jpg
429,Public Garden with Couple and Blue Fir Tree (The Poet s Garden III),1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads4.wikiart.org/images/vincent-van-gogh/public-garden-with-couple-and-blue-fir-tree-the-poet-s-garden-iii-1888.jpg
430,Public Park with Weeping Willow The Poet s Garden I,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/public-park-with-weeping-willow-the-poet-s-garden-i-1888.jpg
431,Quay with Men Unloading Sand Barges,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
genre painting
",https://uploads3.wikiart.org/images/vincent-van-gogh/quay-with-men-unloading-sand-barges-1888-1.jpg
432,Railway Carriages,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads1.wikiart.org/images/vincent-van-gogh/railway-carriages-1888.jpg
433,Red Vineyards at Arles,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/red-vineyards-at-arles-1888.jpg
434,Seascape at Saintes-Maries,1888,"Saintes-maries-de-la-mer, France","
Post-Impressionism
","
marina
",https://uploads1.wikiart.org/images/vincent-van-gogh/seascape-at-saintes-maries-1888.jpg
435,Self Portrait,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
self-portrait
",https://uploads6.wikiart.org/images/vincent-van-gogh/self-portrait-1888.jpg
436,Self Portrait,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
self-portrait
",https://uploads8.wikiart.org/images/vincent-van-gogh/self-portrait-1888-1.jpg
437,Self Portrait as an Artist,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
self-portrait
",https://uploads1.wikiart.org/images/vincent-van-gogh/self-portrait-as-an-artist-1888.jpg
438,Self Portrait Dedicated to Paul Gauguin,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
self-portrait
",https://uploads5.wikiart.org/images/vincent-van-gogh/self-portrait-dedicated-to-paul-gauguin-1888.jpg
439,Self-Portrait,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
self-portrait
",https://uploads8.wikiart.org/images/vincent-van-gogh/self-portrait-1888-2.jpg
440,Selfportrait on the Road to Tarascon (The Painter on His Way to Work),1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
self-portrait
",https://uploads6.wikiart.org/images/vincent-van-gogh/selfportrait-on-the-road-to-tarascon-the-painter-on-his-way-to-work-1888.jpg
441,Snowy Landscape with Arles in the Background,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads1.wikiart.org/images/vincent-van-gogh/snowy-landscape-with-arles-in-the-background-1888.jpg
442,Snowy Landscape with Arles in the Background,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads3.wikiart.org/images/vincent-van-gogh/snowy-landscape-with-arles-in-the-background-1888-1.jpg
443,Sower,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
genre painting
",https://uploads7.wikiart.org/images/vincent-van-gogh/sower-1888.jpg
444,Sower,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
genre painting
",https://uploads0.wikiart.org/images/vincent-van-gogh/sower-1888-1.jpg
445,Sower with Setting Sun,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
genre painting
",https://uploads8.wikiart.org/images/vincent-van-gogh/sower-with-setting-sun-1888-3.jpg
446,Spectators in the Arena at Arles,1888,"Arles, Bouches-du-Rhône, France","
Cloisonnism
","
genre painting
",https://uploads7.wikiart.org/images/vincent-van-gogh/spectators-in-the-arena-at-arles-1888.jpg
447,Still Life - French Novels,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
still life
",https://uploads3.wikiart.org/images/vincent-van-gogh/still-life-french-novels.jpg
448,Still Life - French Novels and Rose,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
still life
",https://uploads3.wikiart.org/images/vincent-van-gogh/still-life-french-novels-and-rose.jpg
449,Still Life - Vase with Fifteen Sunflowers,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
flower painting
",https://uploads5.wikiart.org/images/vincent-van-gogh/still-life-vase-with-fifteen-sunflowers-1888.jpg
450,Still Life - Vase with Fifteen Sunflowers,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
flower painting
",https://uploads7.wikiart.org/images/vincent-van-gogh/still-life-vase-with-fifteen-sunflowers-1888-1.jpg
451,"Still Life Bottle, Lemons and Oranges",1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
still life
",https://uploads2.wikiart.org/images/vincent-van-gogh/still-life-bottle-lemons-and-oranges-1888.jpg
452,Still Life Bowl with Daisies,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
flower painting
",https://uploads3.wikiart.org/images/vincent-van-gogh/still-life-bowl-with-daisies-1888.jpg
453,Still Life Majolica Jug with Wildflowers,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
still life
",https://uploads6.wikiart.org/images/vincent-van-gogh/still-life-majolica-jug-with-wildflowers-1888.jpg
454,Still Life Potatoes in a Yellow Dish,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
still life
",https://uploads2.wikiart.org/images/vincent-van-gogh/still-life-potatoes-in-a-yellow-dish-1888.jpg
455,Still Life Vase with Five Sunflowers,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
flower painting
",https://uploads2.wikiart.org/images/vincent-van-gogh/still-life-vase-with-five-sunflowers-1888.jpg
456,Still Life Vase with Oleanders,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
flower painting
",https://uploads5.wikiart.org/images/vincent-van-gogh/still-life-vase-with-oleanders-1888.jpg
457,Still Life Vase with Zinnias,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
flower painting
",https://uploads3.wikiart.org/images/vincent-van-gogh/still-life-vase-with-zinnias-1888.jpg
458,Still Life with Basket and Six Oranges,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
still life
",https://uploads4.wikiart.org/images/vincent-van-gogh/still-life-with-basket-and-six-oranges-1888.jpg
459,"Still Life with Blue Enamel Coffeepot, Earthenware and Fruit",1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
still life
",https://uploads7.wikiart.org/images/vincent-van-gogh/still-life-with-blue-enamel-coffeepot-earthenware-and-fruit-1888.jpg
460,Still Life with Pears,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
still life
",https://uploads0.wikiart.org/images/vincent-van-gogh/still-life-with-pears.jpg
461,Street in Saintes-Maries,1888,"Saintes-maries-de-la-mer, France","
Post-Impressionism
","
landscape
",https://uploads1.wikiart.org/images/vincent-van-gogh/street-in-saintes-maries-1888-2.jpg
462,"Summer Evening, Wheatfield with Setting sun",1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/summer-evening-wheatfield-with-setting-sun-1888.jpg
463,Sunflowers,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
flower painting
",https://uploads6.wikiart.org/00161/images/vincent-van-gogh/vincent-van-gogh-three-sunflowers-in-a-vase.Jpg
464,Sunny Lawn in a Public Park,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads2.wikiart.org/images/vincent-van-gogh/sunny-lawn-in-a-public-park-1888.jpg
465,The Baby Marcelle Roulin,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads8.wikiart.org/images/vincent-van-gogh/the-baby-marcelle-roulin-1888.jpg
466,The Baby Marcelle Roulin,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads1.wikiart.org/images/vincent-van-gogh/the-baby-marcelle-roulin-1888-1.jpg
467,The ballroom at Arles,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
genre painting
",https://uploads5.wikiart.org/images/vincent-van-gogh/the-ballroom-at-arles-1888.jpg
468,The Bridge at Trinquetaille,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
cityscape
",https://uploads2.wikiart.org/images/vincent-van-gogh/the-bridge-at-trinquetaille-1888.jpg
469,The Gleize Bridge over the Vigneyret Canal,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/the-gleize-bridge-over-the-vigneyret-canal-1888.jpg
470,The Green Vinyard,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads1.wikiart.org/images/vincent-van-gogh/the-green-vinyard-1888.jpg
471,The Langlois Bridge,1888,"Arles, Bouches-du-Rhône, France","
Japonism
","
landscape
",https://uploads3.wikiart.org/images/vincent-van-gogh/the-langlois-bridge-1888.jpg
472,The Langlois Bridge at Arles,1888,"Arles, Bouches-du-Rhône, France","
Japonism
","
landscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/the-langlois-bridge-at-arles-1888-2.jpg
473,The Langlois Bridge at Arles with Road Alongside the Canal,1888,"Arles, Bouches-du-Rhône, France","
Japonism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/the-langlois-bridge-at-arles-with-road-alongside-the-canal-1888.jpg
474,The Langlois Bridge at Arles with Women Washing,1888,"Arles, Bouches-du-Rhône, France","
Japonism
","
landscape
",https://uploads7.wikiart.org/images/vincent-van-gogh/the-langlois-bridge-at-arles-with-women-washing-1888(1).jpg
475,The Langlois Bridge at Arles with Women Washing,1888,"Arles, Bouches-du-Rhône, France","
Japonism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/the-langlois-bridge-at-arles-with-women-washing-1888-1.jpg
476,The Lovers The Poet s Garden IV,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
sketch and study
",https://uploads6.wikiart.org/images/vincent-van-gogh/the-lovers-the-poet-s-garden-iv-1888.jpg
477,The Night Cafe,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
interior
",https://uploads7.wikiart.org/images/vincent-van-gogh/the-night-cafe-1888.jpg
478,The Novel Reader,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
genre painting
",https://uploads2.wikiart.org/images/vincent-van-gogh/the-novel-reader-1888-1.jpg
479,The old mill,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/the-old-mill-1888.jpg
480,The Park at Arles with the Entrance Seen through the Trees,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/the-park-at-arles-with-the-entrance-seen-through-the-trees-1888.jpg
481,The Ploughed Field,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads2.wikiart.org/images/vincent-van-gogh/the-ploughed-field-1888.jpg
482,The Railway Bridge over Avenue Montmajour,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
cityscape
",https://uploads7.wikiart.org/images/vincent-van-gogh/the-railway-bridge-over-avenue-montmajour-1888.jpg
483,The Rocks with Oak tree,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads7.wikiart.org/images/vincent-van-gogh/the-rocks-with-oak-tree-1888.jpg
484,The Roubine du Roi Canal with Washerwomen,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads7.wikiart.org/images/vincent-van-gogh/the-roubine-du-roi-canal-with-washerwomen-1888.jpg
485,The Schoolboy (Camille Roulin),1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads3.wikiart.org/images/vincent-van-gogh/the-schoolboy-camille-roulin-1888.jpg
486,The Smoker (Peasant),1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads2.wikiart.org/images/vincent-van-gogh/the-smoker-peasant-1888.jpg
487,The Sower (Sower with Setting Sun),1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
genre painting
",https://uploads7.wikiart.org/images/vincent-van-gogh/the-sower-sower-with-setting-sun-1888.jpg
488,The Sower Outskirts of Arles in the Background,1888,"Arles, Bouches-du-Rhône, France","
Cloisonnism
","
genre painting
",https://uploads3.wikiart.org/images/vincent-van-gogh/the-sower-outskirts-of-arles-in-the-background-1888.jpg
489,Starry Night Over the Rhone,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads0.wikiart.org/00175/images/vincent-van-gogh/starry-night-over-the-rhone.jpg
490,The Tarascon Diligence,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
cityscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/the-tarascon-diligence-1888.jpg
491,The Trinquetaille Bridge,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
cityscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/the-trinquetaille-bridge-1888.jpg
492,The Yellow House,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
cityscape
",https://uploads0.wikiart.org/images/vincent-van-gogh/the-yellow-house-1888.jpg
493,Thistles,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads1.wikiart.org/images/vincent-van-gogh/thistles-1888.jpg
494,Three White Cottages in Saintes-Maries,1888,"Saintes-maries-de-la-mer, France","
Post-Impressionism
","
landscape
",https://uploads4.wikiart.org/images/vincent-van-gogh/three-white-cottages-in-saintes-maries-1888.jpg
495,Trunk of an Old Yew Tree,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/trunk-of-an-old-yew-tree-1888.jpg
496,Two Thistles,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/two-thistles-1888.jpg
497,View of Arles with Irises in the Foreground,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads0.wikiart.org/images/vincent-van-gogh/view-of-arles-with-irises-in-the-foreground-1888.jpg
498,View of Arles with Trees in Blossom,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads1.wikiart.org/images/vincent-van-gogh/view-of-arles-with-trees-in-blossom-1888.jpg
499,View of Saintes-Maries,1888,"Saintes-maries-de-la-mer, France","
Post-Impressionism
","
cityscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/view-of-saintes-maries-1888.jpg
500,Vincent's Bedroom in Arles,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
interior
",https://uploads1.wikiart.org/images/vincent-van-gogh/vincent-s-bedroom-in-arles-1888.jpg
501,Wheat Field,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/wheat-field-1888-1.jpg
502,Wheat Field with the Alpilles Foothills in the Background,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/wheat-field-with-the-alpilles-foothills-in-the-background-1888.jpg
503,Wheat Fields with Stacks,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/wheat-fields-with-stacks-1888.jpg
504,Wheat Stacks with Reaper,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/wheat-stacks-with-reaper-1888.jpg
505,Wheatfield with Sheaves,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
landscape
",https://uploads7.wikiart.org/images/vincent-van-gogh/wheatfield-with-sheaves-1888.jpg
506,Young Man with a Hat,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads4.wikiart.org/images/vincent-van-gogh/young-man-with-a-hat-1888.jpg
507,Zouave,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads2.wikiart.org/images/vincent-van-gogh/zouave-1888(1).jpg
508,Zouave,1888,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads4.wikiart.org/images/vincent-van-gogh/zouave-1888-1(1).jpg
509,Portrait of the Postman Joseph Roulin,1888,"Arles-sur-tech, France","
Post-Impressionism
","
portrait
",https://uploads7.wikiart.org/images/vincent-van-gogh/portrait-of-the-postman-joseph-roulin.jpg
510,Laboureur dans un Champ,1889,,"
Impressionism
","
landscape
",https://uploads8.wikiart.org/00246/images/vincent-van-gogh/2017-nyr-15004-0028a-000-vincent-van-gogh-laboureur-dans-un-champ.jpg
511,Women Picking Olives,1889,,"
Post-Impressionism
","
landscape
",https://uploads0.wikiart.org/00244/images/vincent-van-gogh/29hidden-1-superjumbo.jpg
512,Self-portrait without beard,1889,,"
Post-Impressionism
","
self-portrait
",https://uploads6.wikiart.org/00221/images/vincent-van-gogh/vincent-willem-van-gogh-102-1.jpg
513,A Field of Yellow Flowers,1889,France,"
Post-Impressionism
","
landscape
",https://uploads3.wikiart.org/images/vincent-van-gogh/a-field-of-yellow-flowers-1889(1).jpg
514,A Meadow in the Mountains,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads3.wikiart.org/images/vincent-van-gogh/a-meadow-in-the-mountains-1889(1).jpg
515,A Road in St. Remy with Female Figures,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/a-road-in-st-remy-with-female-figures-1889(1).jpg
516,At the Foot of the Mountains,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/at-the-foot-of-the-mountains-1889(1).jpg
517,Avenue with Flowering Chestnut Trees at Arles,1889,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
cityscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/avenue-with-flowering-chestnut-trees-at-arles-1889(1).jpg
518,Bloaters on a Piece of Yellow Paper,1889,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
still life
",https://uploads4.wikiart.org/images/vincent-van-gogh/bloaters-on-a-piece-of-yellow-paper-1889(1).jpg
519,Clumps of Grass,1889,France,"
Post-Impressionism
","
sketch and study
",https://uploads2.wikiart.org/images/vincent-van-gogh/clumps-of-grass-1889(1).jpg
520,Corridor in the asylum,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
interior
",https://uploads1.wikiart.org/00220/images/vincent-van-gogh/antique-3937518.jpg
521,Crab on It`s Back,1889,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
animal painting
",https://uploads4.wikiart.org/images/vincent-van-gogh/crab-on-it-s-back-1889(1).jpg
522,Cypresses with Two Women,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads2.wikiart.org/images/vincent-van-gogh/cypresses-with-two-women-1889(1).jpg
523,Enclosed Field with Peasant,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/enclosed-field-with-peasant-1889(1).jpg
524,Enclosed Field with Ploughman,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads0.wikiart.org/images/vincent-van-gogh/enclosed-field-with-ploughman-1889-1(1).jpg
525,Enclosed field with rising sun,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/enclosed-field-with-rising-sun-1889(1).jpg
526,Entrance to a Quarry,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads7.wikiart.org/images/vincent-van-gogh/entrance-to-a-quarry-1889(1).jpg
527,Entrance to a Quarry near Saint Remy,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/entrance-to-a-quarry-near-saint-remy-1889(1).jpg
528,Evening - The End of the Day (after Millet),1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
genre painting
",https://uploads8.wikiart.org/images/vincent-van-gogh/evening-the-end-of-the-day-after-millet-1889(1).jpg
529,Evening - The Watch (after Millet),1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
genre painting
",https://uploads8.wikiart.org/images/vincent-van-gogh/evening-the-watch-after-millet-1889(1).jpg
530,Evening Landscape with Rising Moon,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads3.wikiart.org/images/vincent-van-gogh/evening-landscape-with-rising-moon-1889(1).jpg
531,Field and Ploughman and Mill,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads6.wikiart.org/images/vincent-van-gogh/field-and-ploughman-and-mill-1889(1).jpg
532,Field of Spring Wheat at Sunrise,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads1.wikiart.org/images/vincent-van-gogh/field-of-spring-wheat-at-sunrise-1889(1).jpg
533,Field with Poppies,1889,France,"
Post-Impressionism
","
landscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/field-with-poppies-1889(1).jpg
534,Field with Two Rabbits,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads0.wikiart.org/images/vincent-van-gogh/field-with-two-rabbits-1889(1).jpg
535,Flowering Shrubs,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads3.wikiart.org/images/vincent-van-gogh/flowering-shrubs-1889(1).jpg
536,Great Peacock Moth,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
animal painting
",https://uploads5.wikiart.org/images/vincent-van-gogh/great-peacock-moth-1889(1).jpg
537,Green Wheat Field with Cypress,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads1.wikiart.org/images/vincent-van-gogh/green-wheat-field-with-cypress-1889-1(1).jpg
538,"Head of an Angel, after Rembrandt",1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
religious painting
",https://uploads7.wikiart.org/images/vincent-van-gogh/head-of-an-angel-after-rembrandt-1889.jpg
539,Irises,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads0.wikiart.org/00213/images/vincent-van-gogh/antique-3840759.jpg
540,Joseph-Etienne Roulin,1889,"Arles, Bouches-du-Rhône, France","
Post-Impressionism
","
portrait
",https://uploads0.wikiart.org/00213/images/vincent-van-gogh/antique-3840760.jpg
541,Landscape with House and Ploughman,1889,France,"
Cloisonnism
","
landscape
",https://uploads3.wikiart.org/images/vincent-van-gogh/landscape-with-house-and-ploughman-1889(2).jpg
542,Landscape with Trees and Figures,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads7.wikiart.org/images/vincent-van-gogh/landscape-with-trees-and-figures-1889.jpg
543,Large Plane Trees,1889,"Saint-rémy-de-provence, France","
Post-Impressionism
","
landscape
",https://uploads1.wikiart.org/images/vincent-van-gogh/large-plane-trees-1889.jpg
